id,starttime,endtime,volume,projectedflow,occupancy,averagespeed,rawintervalcount,partition_0,partition_1,partition_2
11373365:61:streams.metro.tmr.its,2020-09-09T00:00:00.000Z,2020-09-09T00:15:00.000Z,106,424,3,83,15,2020,9,9
11373365:61:streams.metro.tmr.its,2020-09-09T00:15:00.000Z,2020-09-09T00:30:00.000Z,112,448,3,85,15,2020,9,9
11373365:61:streams.metro.tmr.its,2020-09-09T00:30:00.000Z,2020-09-09T00:45:00.000Z,126,504,4,83,15,2020,9,9
11373365:61:streams.metro.tmr.its,2020-09-09T00:45:00.000Z,2020-09-09T01:00:00.000Z,116,464,3,83,15,2020,9,9
11373365:61:streams.metro.tmr.its,2020-09-09T01:00:00.000Z,2020-09-09T01:15:00.000Z,142,568,4,83,15,2020,9,9
11373365:61:streams.metro.tmr.its,2020-09-09T01:15:00.000Z,2020-09-09T01:30:00.000Z,139,556,4,85,15,2020,9,9
11373365:61:streams.metro.tmr.its,2020-09-09T01:30:00.000Z,2020-09-09T01:45:00.000Z,156,624,4,84,15,2020,9,9
11373365:61:streams.metro.tmr.its,2020-09-09T01:45:00.000Z,2020-09-09T02:00:00.000Z,118,472,3,84,15,2020,9,9
11373365:61:streams.metro.tmr.its,2020-09-09T02:00:00.000Z,2020-09-09T02:15:00.000Z,154,616,5,83,15,2020,9,9
11373365:61:streams.metro.tmr.its,2020-09-09T02:15:00.000Z,2020-09-09T02:30:00.000Z,138,552,4,85,15,2020,9,9
11373365:61:streams.metro.tmr.its,2020-09-09T02:30:00.000Z,2020-09-09T02:45:00.000Z,147,588,4,82,15,2020,9,9
11373365:61:streams.metro.tmr.its,2020-09-09T02:45:00.000Z,2020-09-09T03:00:00.000Z,157,628,5,83,15,2020,9,9
11373365:61:streams.metro.tmr.its,2020-09-09T03:00:00.000Z,2020-09-09T03:15:00.000Z,164,656,5,84,15,2020,9,9
11373365:61:streams.metro.tmr.its,2020-09-09T03:15:00.000Z,2020-09-09T03:30:00.000Z,141,564,4,83,15,2020,9,9
11373365:61:streams.metro.tmr.its,2020-09-09T03:30:00.000Z,2020-09-09T03:45:00.000Z,135,540,4,84,15,2020,9,9
11373365:61:streams.metro.tmr.its,2020-09-09T03:45:00.000Z,2020-09-09T04:00:00.000Z,161,644,5,82,15,2020,9,9
11373365:61:streams.metro.tmr.its,2020-09-09T04:00:00.000Z,2020-09-09T04:15:00.000Z,182,728,5,83,15,2020,9,9
11373365:61:streams.metro.tmr.its,2020-09-09T04:15:00.000Z,2020-09-09T04:30:00.000Z,186,744,6,81,15,2020,9,9
11373365:61:streams.metro.tmr.its,2020-09-09T04:30:00.000Z,2020-09-09T04:45:00.000Z,201,804,6,82,15,2020,9,9
11373365:61:streams.metro.tmr.its,2020-09-09T04:45:00.000Z,2020-09-09T05:00:00.000Z,171,684,5,80,15,2020,9,9
11373365:61:streams.metro.tmr.its,2020-09-09T05:00:00.000Z,2020-09-09T05:15:00.000Z,200,800,6,81,15,2020,9,9
11373365:61:streams.metro.tmr.its,2020-09-09T05:15:00.000Z,2020-09-09T05:30:00.000Z,221,884,7,82,15,2020,9,9
11373365:61:streams.metro.tmr.its,2020-09-09T05:30:00.000Z,2020-09-09T05:45:00.000Z,224,896,7,78,15,2020,9,9
11373365:61:streams.metro.tmr.its,2020-09-09T05:45:00.000Z,2020-09-09T06:00:00.000Z,178,712,6,69,15,2020,9,9
11373365:61:streams.metro.tmr.its,2020-09-09T06:00:00.000Z,2020-09-09T06:15:00.000Z,194,776,6,72,15,2020,9,9
11373365:61:streams.metro.tmr.its,2020-09-09T06:15:00.000Z,2020-09-09T06:30:00.000Z,164,656,5,71,15,2020,9,9
11373365:61:streams.metro.tmr.its,2020-09-09T06:30:00.000Z,2020-09-09T06:45:00.000Z,171,684,6,68,15,2020,9,9
